Hugo_Symbol,subtype,n_lines,n_patients,n_lines_mut,n_patients_mut,n_patients_mut_tier12,pct_lines,pct_patients,pct_patients_tier12
TP53,CC,2,2,0,0,0,0,0,0
TP53,EC,1,1,1,1,1,100,100,100
TP53,HGS,18,11,18,11,11,100,100,100
TP53,LGS,1,1,0,0,0,0,0,0
TP53,MC,1,1,0,0,0,0,0,0
BRCA1,CC,2,2,0,0,0,0,0,0
BRCA1,EC,1,1,0,0,0,0,0,0
BRCA1,HGS,18,11,0,0,0,0,0,0
BRCA1,LGS,1,1,0,0,0,0,0,0
BRCA1,MC,1,1,0,0,0,0,0,0
BRCA2,CC,2,2,0,0,0,0,0,0
BRCA2,EC,1,1,0,0,0,0,0,0
BRCA2,HGS,18,11,1,1,0,5.6,9.1,0
BRCA2,LGS,1,1,1,1,0,100,100,0
BRCA2,MC,1,1,0,0,0,0,0,0
RB1,CC,2,2,0,0,0,0,0,0
RB1,EC,1,1,0,0,0,0,0,0
RB1,HGS,18,11,0,0,0,0,0,0
RB1,LGS,1,1,0,0,0,0,0,0
RB1,MC,1,1,0,0,0,0,0,0
NF1,CC,2,2,0,0,0,0,0,0
NF1,EC,1,1,0,0,0,0,0,0
NF1,HGS,18,11,1,1,0,5.6,9.1,0
NF1,LGS,1,1,0,0,0,0,0,0
NF1,MC,1,1,0,0,0,0,0,0
PTEN,CC,2,2,1,1,1,50,50,50
PTEN,EC,1,1,0,0,0,0,0,0
PTEN,HGS,18,11,0,0,0,0,0,0
PTEN,LGS,1,1,0,0,0,0,0,0
PTEN,MC,1,1,0,0,0,0,0,0
PIK3CA,CC,2,2,1,1,1,50,50,50
PIK3CA,EC,1,1,0,0,0,0,0,0
PIK3CA,HGS,18,11,0,0,0,0,0,0
PIK3CA,LGS,1,1,0,0,0,0,0,0
PIK3CA,MC,1,1,0,0,0,0,0,0
KRAS,CC,2,2,2,2,2,100,100,100
KRAS,EC,1,1,1,1,1,100,100,100
KRAS,HGS,18,11,0,0,0,0,0,0
KRAS,LGS,1,1,0,0,0,0,0,0
KRAS,MC,1,1,1,1,1,100,100,100
NRAS,CC,2,2,0,0,0,0,0,0
NRAS,EC,1,1,0,0,0,0,0,0
NRAS,HGS,18,11,0,0,0,0,0,0
NRAS,LGS,1,1,0,0,0,0,0,0
NRAS,MC,1,1,0,0,0,0,0,0
BRAF,CC,2,2,0,0,0,0,0,0
BRAF,EC,1,1,0,0,0,0,0,0
BRAF,HGS,18,11,1,1,1,5.6,9.1,9.1
BRAF,LGS,1,1,0,0,0,0,0,0
BRAF,MC,1,1,0,0,0,0,0,0
CTNNB1,CC,2,2,1,1,0,50,50,0
CTNNB1,EC,1,1,1,1,1,100,100,100
CTNNB1,HGS,18,11,0,0,0,0,0,0
CTNNB1,LGS,1,1,0,0,0,0,0,0
CTNNB1,MC,1,1,0,0,0,0,0,0
ARID1A,CC,2,2,1,1,1,50,50,50
ARID1A,EC,1,1,0,0,0,0,0,0
ARID1A,HGS,18,11,1,1,0,5.6,9.1,0
ARID1A,LGS,1,1,0,0,0,0,0,0
ARID1A,MC,1,1,0,0,0,0,0,0
ARID1B,CC,2,2,1,1,1,50,50,50
ARID1B,EC,1,1,0,0,0,0,0,0
ARID1B,HGS,18,11,1,1,1,5.6,9.1,9.1
ARID1B,LGS,1,1,0,0,0,0,0,0
ARID1B,MC,1,1,0,0,0,0,0,0
PPP2R1A,CC,2,2,0,0,0,0,0,0
PPP2R1A,EC,1,1,0,0,0,0,0,0
PPP2R1A,HGS,18,11,0,0,0,0,0,0
PPP2R1A,LGS,1,1,0,0,0,0,0,0
PPP2R1A,MC,1,1,0,0,0,0,0,0
CDK12,CC,2,2,0,0,0,0,0,0
CDK12,EC,1,1,0,0,0,0,0,0
CDK12,HGS,18,11,6,3,2,33.3,27.3,18.2
CDK12,LGS,1,1,0,0,0,0,0,0
CDK12,MC,1,1,0,0,0,0,0,0
CDKN2A,CC,2,2,0,0,0,0,0,0
CDKN2A,EC,1,1,0,0,0,0,0,0
CDKN2A,HGS,18,11,1,1,0,5.6,9.1,0
CDKN2A,LGS,1,1,0,0,0,0,0,0
CDKN2A,MC,1,1,0,0,0,0,0,0
SMARCA4,CC,2,2,0,0,0,0,0,0
SMARCA4,EC,1,1,1,1,1,100,100,100
SMARCA4,HGS,18,11,0,0,0,0,0,0
SMARCA4,LGS,1,1,0,0,0,0,0,0
SMARCA4,MC,1,1,0,0,0,0,0,0
SMARCA2,CC,2,2,1,1,0,50,50,0
SMARCA2,EC,1,1,0,0,0,0,0,0
SMARCA2,HGS,18,11,2,2,0,11.1,18.2,0
SMARCA2,LGS,1,1,0,0,0,0,0,0
SMARCA2,MC,1,1,0,0,0,0,0,0
ERBB2,CC,2,2,0,0,0,0,0,0
ERBB2,EC,1,1,0,0,0,0,0,0
ERBB2,HGS,18,11,0,0,0,0,0,0
ERBB2,LGS,1,1,0,0,0,0,0,0
ERBB2,MC,1,1,0,0,0,0,0,0
